eventID,poiID,tweetID,text
31,235.0,8.2544900070679347E17,Can you recommend anyone for this #job in #Melbourne? https://t.co/HGMiXRdWLP #Database #Hiring #CareerArc
31,235.0,8.2545016646332416E17,We're #hiring! Read about our latest #job opening here: General Expression of Interest - https://t.co/c6WBkLJ0zY #Melbourne #CareerArc
31,235.0,8.254497688138793E17,"Can you recommend anyone for this #job in #Melbourne, VIC? https://t.co/iaQOHQTzA9 #DellJobs #IT #Hiring #CareerArc"
31,235.0,8.2545021898015539E17,"Want to work in #Melbourne, VIC? View our latest opening: https://t.co/YaeDtitRFe #Job #Marketing #Jobs #Hiring #CareerArc"
32,120.0,8.2561964711019315E17,#ausopen2017 #borisbecker #lengendary @ Rod Laver Arena - Australian Open https://t.co/teiOzQ1jEn
32,120.0,8.2562170526344397E17,All aboard the Fed Express!! #ausopen2017 @ Rod Laver Arena - Australian Open https://t.co/TVrDW9hj1h
32,120.0,8.25619967030784E17,"As the 17th seed, at the 18th time of asking, 18 slams after you won… https://t.co/wrpWtWntUr"
32,120.0,8.2562153330968986E17,We both love Roger Federer and Rafael Nadal but for today we will rooting for Roger Federer .… https://t.co/sSGZOtPXqY
32,120.0,8.256206518053929E17,"""Darkness cannot drive out darkness: only light can do that. Hate… https://t.co/udvsLnGh07"
32,120.0,8.256202990183383E17,I was so hoping to see that charming chap Kyrgios but 'spose this'll do. #ausopen @ Rod Laver… https://t.co/qAOaUzOzU1
32,120.0,8.2562165879476224E17,#ausopen #aoselfie @ Rod Laver Arena - Australian Open https://t.co/2pQdny2qnF
33,120.0,8.2563261673269248E17,#AustralianOpen2017 FINALS!🎾 Exciting times🤗 Woohoooo🎉 Rooting for Federer✅ #EmiratesReturn… https://t.co/Zb8J55C1o8
33,120.0,8.256326318994391E17,At the Australian Open! Rafa v Fedex. #achievementunlocked #grandslam #oz #tennis… https://t.co/WaDpqss0dS
33,120.0,8.2563251744945357E17,At the #ausopen #kiatennis @ Rod Laver Arena - Australian Open https://t.co/dwG0XoiE3g
33,120.0,8.2563280559815066E17,1st set #Roger @ Rod Laver Arena - Australian Open https://t.co/sWzSCGYll9
33,120.0,8.2563356397871514E17,kangahiking enjoying a rush of fame with her fabulous sign tonight… https://t.co/JAvx1Sbg5N
34,120.0,8.2567981857435238E17,FED does it .. 2017 Australian Open Mens Champion #australianopen #tennis #mensfinal… https://t.co/JVw76C1eLX
34,120.0,8.2567974718315725E17,kangahiking beside herself with glee #federer4ever #ausopen @ Rod… https://t.co/UJXS8yQ1PD
34,120.0,8.2567968327860634E17,Woooohoooo🎉 Roger Federer wins 2017 Australian Open 🎾✅ so so happy🤗 #A017 #AustralianOpen2017… https://t.co/8STeHD9959
34,120.0,8.2567806142954291E17,Tennis at the moment... 🎾🐐🎾🐐😳 #nadalvsfederer #rafa #nadal #roger #federer @ Rod Laver Arena -… https://t.co/f1s4KI52UA
34,120.0,8.2567984575771034E17,Absolutely incredible. CONGRATS #Roger @australianopen #Champion @ Rod Laver Arena - Australian… https://t.co/r2wC6PU8ps
35,121.0,8.2568133182056038E17,Rooooogggeeeeerrrr #RF #rogerfederer #federernadal #australianopen #ausopen #wilson… https://t.co/34auKxaJyD
35,121.0,8.25681856129536E17,KING ROGER IS BACK🏆🎾!!! Congratulations to the 2017 @australianopen champion rogerfederer 6-4… https://t.co/gXV0VUrenC
35,121.0,8.2568149953389363E17,Roger Federer's name can be added to the #ausopen Men's Single Cup! What a match - bravo… https://t.co/avaGmkxjNX
35,121.0,8.2568040511427379E17,#grandeRoger #grandeRafa #final #australianopen @ Australian Open https://t.co/4azZ2od5Ey
35,121.0,8.2568165950903501E17,Well played @Rafaelnadal  epic match Congo rogerfederer for winning #AustraliaOpen2017… https://t.co/wMiDEMachY
35,121.0,8.256800215703511E17,An amazing match between rogerfederer and @rafaelnadal at the @australianopen. A match for the… https://t.co/AGcIeRfgaU
35,121.0,8.2568200778713088E17,"🏆 Roger is the man 🏆
knappe overwinning rogerfederer… https://t.co/4G82KLv7tP"
35,121.0,8.2568090002538086E17,#champion #federer #the_best @ Australian Open https://t.co/PT4fuXkgqQ
35,121.0,8.2567996982525542E17,He's done it !!!! Roger Federer's 18th Grand Slam !!! True Legend... the biggest of them all !!!… https://t.co/pY088Kaq8E
35,121.0,8.2568170286542438E17,Just peRFect!!! @ Australian Open https://t.co/HpuXJ5b35U
36,120.0,8.2568556473738445E17,"The King is Back!!!
#RogerFederer @ Rod Laver Arena - Australian Open https://t.co/dbUOsIt93C"
36,120.0,8.2568602590113382E17,"Roger Federer You Beauty
#RogerFederer @ Rod Laver Arena -… https://t.co/26eJvj8kDu"
36,120.0,8.2568726974293197E17,I don't even need to say. You know. rogerfederer #GOAT #ausopen @… https://t.co/Qndap5vr0S
36,120.0,8.2568671241214362E17,And My Most Favorite Athlete of All Times is Back in Business...… https://t.co/P0DWFEGEbT
36,120.0,8.2568726033507533E17,Lined up for hours to get a chance to watch the great Roger Federer at Rod Laver Arena 4 years… https://t.co/KTCSyWqRvm
36,120.0,8.2568606556664627E17,R O G E R 🏆 @ Rod Laver Arena https://t.co/a43Cbmzx9O
37,120.0,8.2569410082125824E17,#federer #champion #rodlaverarena #MensFinal #ausopen #australianopen #trophy @ Rod Laver Arena… https://t.co/xRZHxNn36l
37,120.0,8.2569371664397926E17,#australianopen #ausopen #MensFinal #rodlaverarena #federer #champion @ Rod Laver Arena -… https://t.co/P0KkEsbwxM
37,120.0,8.2569271206622822E17,Wowww I can't believe rogerfederer… https://t.co/S0O7C1jKiJ
37,120.0,8.2569293286699008E17,#nadal #rodlaverarena #MensFinal #ausopen #australianopen @ Rod Laver Arena - Australian Open https://t.co/ZFySpOaV3S
37,120.0,8.2569272225840742E17,"#champ  is back
18th #grandslam 
#rogerfederer 😘😍💪
#goodolddays 🙌🙌😉✌
#federerlove @ Rod Laver… https://t.co/sgkIJ0VTiv"
38,35.0,8.2622480918085632E17,"@SydneyFC Thanks for the photo, Matty! :) #SydneyIsSkyBlue #WeAreSydney @ Melbourne, Australia https://t.co/IfZWt1nCse"
38,35.0,8.2622505799957299E17,"@SydneyFC Brosquey! :) #SydneyIsSkyBlue #WeAreSydney @ Melbourne, Australia https://t.co/0ZD9h9K9y0"
